Date,TBA Options | Front | 4.0 | ATM | Put | Premium,TBA Options | Front | 4.0 | ATM | Put | Price bpvol,TBA Options | Front | 4.0 | ATM | Put | Cvx-adj yield bpvol,TBA Options | Front | 4.0 | ATM | Put | Strike,TBA Options | Front | 4.0 | ATM | Put | TBA price,TBA Options | Front | 4.0 | ATM | Put | Price delta,TBA Options | Front | 4.0 | ATM | Put | Yield delta,TBA Options | Front | 4.0 | ATM | Put | Vega,TBA Options | Front | 4.0 | ATM | Put | Libor OAS,TBA Options | Front | 4.0 | ATM | Put | Model duration,TBA Options | Front | 4.0 | ATM | Put | Trader duration,TBA Options | Front | 4.0 | ATM | Put | Empirical duration,TBA Options | Front | 4.0 | ATM | Put | Expiry,TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 10Y,TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 7Y,TBA Options | Front | 4.0 | ATM | Put | Matched Swaption Price 5Y,TBA Options | Front | 4.0 | ATM | Call | Premium,TBA Options | Front | 4.0 | ATM | Call | Price bpvol,TBA Options | Front | 4.0 | ATM | Call | Cvx-adj yield bpvol,TBA Options | Front | 4.0 | ATM | Call | Strike,TBA Options | Front | 4.0 | ATM | Call | TBA price,TBA Options | Front | 4.0 | ATM | Call | Price delta,TBA Options | Front | 4.0 | ATM | Call | Yield delta,TBA Options | Front | 4.0 | ATM | Call | Vega,TBA Options | Front | 4.0 | ATM | Call | Libor OAS,TBA Options | Front | 4.0 | ATM | Call | Model duration,TBA Options | Front | 4.0 | ATM | Call | Trader duration,TBA Options | Front | 4.0 | ATM | Call | Empirical duration,TBA Options | Front | 4.0 | ATM | Call | Expiry,TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 10Y,TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 7Y,TBA Options | Front | 4.0 | ATM | Call | Matched Swaption Price 5Y
14-Jul-23,0.66868,7.08866,6.7798,93.97656,93.97656,-0.50815,315.15137,0.66268,50.2,5.406,5.2784,6.68461,20230807,83.62634,70.97456,57.46535,0.66868,7.08866,6.7798,93.97656,93.97656,0.48842,-302.9144,0.66268,50.2,5.406,5.2784,6.68461,20230807,83.62634,70.97456,57.46535
17-Jul-23,0.59254,6.47242,6.69934,94.15625,94.15625,-0.51067,293.21653,0.59804,49.1,5.364,5.25371,6.77318,20230807,80.20774,68.06129,55.09297,0.59254,6.47242,6.69934,94.15625,94.15625,0.48631,-279.22911,0.59804,49.1,5.364,5.25371,6.77318,20230807,80.20774,68.06129,55.09297
18-Jul-23,0.5507,6.22203,6.46795,94.21094,94.21094,-0.51014,291.82088,0.5757,49.6,5.341,5.25257,6.71097,20230807,74.86994,63.52279,51.43103,0.5507,6.22203,6.46795,94.21094,94.21094,0.48699,-278.57743,0.5757,49.6,5.341,5.25257,6.71097,20230807,74.86994,63.52279,51.43103
19-Jul-23,0.51747,6.05892,6.37892,94.32812,94.32812,-0.50997,288.40214,0.54893,50.4,5.279,5.22143,6.6565,20230807,71.28629,61.43307,50.15773,0.51747,6.05892,6.37892,94.32812,94.32812,0.48729,-275.57445,0.54893,50.4,5.279,5.22143,6.6565,20230807,71.28629,61.43307,50.15773
20-Jul-23,0.58285,7.14826,7.22698,93.71875,93.71875,-0.51005,298.4318,0.56462,50.6,5.441,5.30177,6.65385,20230807,74.30954,63.48176,51.59626,0.58285,7.14826,7.22698,93.71875,93.71875,0.48735,-285.15171,0.56462,50.6,5.441,5.30177,6.65385,20230807,74.30954,63.48176,51.59626
21-Jul-23,0.53224,6.81116,6.90426,93.79688,93.79688,-0.50936,297.49709,0.54469,49.7,5.411,5.27317,6.63568,20230807,67.40204,57.95355,47.27412,0.53224,6.81116,6.90426,93.79688,93.79688,0.48818,-285.12478,0.54469,49.7,5.411,5.27317,6.63568,20230807,67.40204,57.95355,47.27412
24-Jul-23,0.51386,6.8998,6.94256,93.71875,93.71875,-0.5091,299.30161,0.52281,48.8,5.416,5.27833,6.61469,20230807,64.55382,55.44697,45.21028,0.51386,6.8998,6.94256,93.71875,93.71875,0.48886,-287.40254,0.52281,48.8,5.416,5.27833,6.61469,20230807,64.55382,55.44697,45.21028
25-Jul-23,0.50669,7.19264,7.09776,93.42969,93.42969,-0.50854,303.90523,0.50378,48.9,5.482,5.30522,6.59597,20230807,62.44469,53.60731,43.72007,0.50669,7.19264,7.09776,93.42969,93.42969,0.48956,-292.56553,0.50378,48.9,5.482,5.30522,6.59597,20230807,62.44469,53.60731,43.72007
26-Jul-23,0.43273,6.48306,6.53063,93.88281,93.88281,-0.50796,298.8174,0.46801,45.4,5.362,5.25077,6.62971,20230807,54.38035,46.31452,37.5877,0.43273,6.48306,6.53063,93.88281,93.88281,0.49028,-288.41329,0.46801,45.4,5.362,5.25077,6.62971,20230807,54.38035,46.31452,37.5877
27-Jul-23,0.48951,7.92201,7.58586,92.89844,92.89844,-0.50767,310.87205,0.45458,48.5,5.63,5.39225,6.59144,20230807,58.62037,49.81435,40.39412,0.48951,7.92201,7.58586,92.89844,92.89844,0.49071,-300.48937,0.45458,48.5,5.63,5.39225,6.59144,20230807,58.62037,49.81435,40.39412
28-Jul-23,0.44658,7.77245,7.54203,93.28906,93.28906,-0.50753,307.98341,0.41778,45.3,5.525,5.34133,6.70969,20230807,54.09258,46.03828,37.36021,0.44658,7.77245,7.54203,93.28906,93.28906,0.491,-297.94808,0.41778,45.3,5.525,5.34133,6.70969,20230807,54.09258,46.03828,37.36021
31-Jul-23,0.39694,7.56142,7.36537,93.32812,93.32812,-0.50659,306.3688,0.3804,45.8,5.505,5.34047,6.70861,20230807,48.30023,40.71353,32.85672,0.39694,7.56142,7.36537,93.32812,93.32812,0.49238,-297.76983,0.3804,45.8,5.505,5.34047,6.70861,20230807,48.30023,40.71353,32.85672
1-Aug-23,0.3815,8.17875,7.75073,92.70312,92.70312,-0.50587,312.34697,0.34723,49.4,5.675,5.42966,6.75736,20230807,45.31039,37.91277,30.48449,0.3815,8.17875,7.75073,92.70312,92.70312,0.49325,-304.55757,0.34723,49.4,5.675,5.42966,6.75736,20230807,45.31039,37.91277,30.48449
2-Aug-23,0.34617,8.59569,8.08259,92.40625,92.40625,-0.5054,313.49278,0.30216,52.5,5.757,5.71026,6.77098,20230807,40.9348,33.31748,26.34209,0.34617,8.59569,8.08259,92.40625,92.40625,0.49387,-306.34048,0.30216,52.5,5.757,5.71026,6.77098,20230807,40.9348,33.31748,26.34209
3-Aug-23,0.38345,11.74071,10.6793,91.76562,91.76562,-0.50269,320.10367,0.25264,50.5,5.871,5.75625,6.72645,20230807,43.92962,35.77062,28.29259,0.38345,11.74071,10.6793,91.76562,91.76562,0.49673,-316.30858,0.25264,50.5,5.871,5.75625,6.72645,20230807,43.92962,35.77062,28.29259
4-Aug-23,0.19253,8.26655,7.7975,92.53125,92.53125,-0.50147,310.50422,0.17455,49,5.702,5.67973,6.60929,20230807,22.85324,18.08692,14.04502,0.19253,8.26655,7.7975,92.53125,92.53125,0.49809,-308.40762,0.17455,49,5.702,5.67973,6.60929,20230807,22.85324,18.08692,14.04502
7-Aug-23,0.90659,8.31641,7.96446,92.72266,92.72266,-0.50404,308.03285,0.77663,46.6,5.722,5.66845,6.58612,20230907,112.45099,89.31868,69.51208,0.90659,8.31641,7.96446,92.72266,92.72266,0.4914,-300.30699,0.77663,46.6,5.722,5.66845,6.58612,20230907,112.45099,89.31868,69.51208
8-Aug-23,0.86381,8.09591,7.86559,92.875,92.875,-0.50441,304.35336,0.75058,47.2,5.619,5.62209,6.48896,20230907,108.79526,86.00357,66.72272,0.86381,8.09591,7.86559,92.875,92.875,0.49119,-296.37603,0.75058,47.2,5.619,5.62209,6.48896,20230907,108.79526,86.00357,66.72272
9-Aug-23,0.8179,7.84255,7.63704,93.00781,93.00781,-0.50397,303.82411,0.73195,47.6,5.616,5.63187,6.59077,20230907,103.12184,81.42037,63.12495,0.8179,7.84255,7.63704,93.00781,93.00781,0.49177,-296.46521,0.73195,47.6,5.616,5.63187,6.59077,20230907,103.12184,81.42037,63.12495
10-Aug-23,0.79192,7.83226,7.43553,92.5,92.5,-0.50257,309.08417,0.72622,50.7,5.758,5.37959,6.3243,20230907,97.56849,76.36601,58.88086,0.79192,7.83226,7.43553,92.5,92.5,0.49332,-303.39459,0.72622,50.7,5.758,5.37959,6.3243,20230907,97.56849,76.36601,58.88086
11-Aug-23,0.84971,8.68718,8.04734,91.92188,91.92188,-0.50213,314.50535,0.73173,52.9,5.837,5.47114,6.33522,20230907,100.42094,78.68627,60.73053,0.84971,8.68718,8.04734,91.92188,91.92188,0.4939,-309.34822,0.73173,52.9,5.837,5.47114,6.33522,20230907,100.42094,78.68627,60.73053
14-Aug-23,0.8199,8.6392,7.94863,91.73438,91.73438,-0.50176,315.7739,0.71476,53.3,5.847,5.45367,6.26599,20230907,96.31326,75.49924,58.30055,0.8199,8.6392,7.94863,91.73438,91.73438,0.49471,-311.3348,0.71476,53.3,5.847,5.45367,6.26599,20230907,96.31326,75.49924,58.30055
15-Aug-23,0.83122,9.0614,8.23391,91.38281,91.38281,-0.50137,318.25763,0.69902,55.4,5.899,5.44876,6.26035,20230907,96.64423,75.76563,58.51569,0.83122,9.0614,8.23391,91.38281,91.38281,0.49525,-314.36791,0.69902,55.4,5.899,5.44876,6.26035,20230907,96.64423,75.76563,58.51569
16-Aug-23,0.82645,9.31311,8.39331,91.28906,91.28906,-0.4961,317.183,0.69633,53.5,5.911,5.55851,6.22717,20230907,93.38277,73.25075,56.59531,0.82645,9.31311,8.39331,91.28906,91.28906,0.50067,-320.10729,0.69633,53.5,5.911,5.55851,6.22717,20230907,93.38277,73.25075,56.59531
17-Aug-23,0.84931,9.95201,8.83198,90.85938,90.85938,-0.49563,320.29175,0.67947,54.3,5.972,5.63424,6.38873,20230907,94.73353,74.26469,57.35258,0.84931,9.95201,8.83198,90.85938,90.85938,0.50128,-323.94209,0.67947,54.3,5.972,5.63424,6.38873,20230907,94.73353,74.26469,57.35258
